Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
,,,,,
"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
